pmid,autor,nombres_originales,n_filiaciones,filiacion_ids
27130259,Villar M,"[""Villar María Eugenia""]",1,"[""aff_fc7525f67a87322b""]"
27130259,Viola H,"[""Viola Haydee""]",1,"[""aff_93194571ab72d28c""]"
27191152,Capurro C,"[""Capurro Claudia""]",1,"[""aff_8cdecdaff6994559""]"
27191152,Christensen M,"[""Christensen María José""]",1,"[""aff_8cdecdaff6994559""]"
27191152,Di Giusto G,"[""Di Giusto Gisela""]",1,"[""aff_8cdecdaff6994559""]"
27191152,Ford P,"[""Ford Paula""]",1,"[""aff_8cdecdaff6994559""]"
27191152,Rivarola V,"[""Rivarola Valeria""]",1,"[""aff_8cdecdaff6994559""]"
27225760,Belforte J,"[""Belforte Juan E""]",1,"[""aff_58c02760b494e4c9""]"
27225760,Escande M,"[""Escande Mariela V""]",1,"[""aff_893f2761d4123230""]"
27225760,Murer M,"[""Murer M Gustavo""]",1,"[""aff_58c02760b494e4c9""]"
27225760,Taravini I,"[""Taravini Irene R E""]",1,"[""aff_a371d298b7a40641""]"
27225760,Zold C,"[""Zold Camila L""]",1,"[""aff_58c02760b494e4c9""]"
27321160,Blake M,"[""Blake M G""]",1,"[""aff_f6332e3086967dd9""]"
27321160,Boccia M,"[""Boccia M M""]",1,"[""aff_ff726aafe17cb92c""]"
27321160,Feld M,"[""Feld M""]",1,"[""aff_f7ddf2d800fb1b34""]"
27321160,Krawczyk M,"[""Krawczyk M C""]",1,"[""aff_38c7cbdea0e5929d""]"
27321160,Navarro N,"[""Navarro N""]",1,"[""aff_38c7cbdea0e5929d""]"
27321160,Romano A,"[""Romano A""]",1,"[""aff_5777df2da578d774""]"
27342375,Castro-Parodi M,"[""Castro-Parodi Mauricio""]",1,"[""aff_16c47262ce39acb1""]"
27342375,Damiano A,"[""Damiano Alicia E""]",1,"[""aff_92d21ef695e9337b""]"
27342375,Farina M,"[""Farina Mariana""]",1,"[""aff_4f3f75f925893e51""]"
27342375,Herlax V,"[""Herlax Vanesa""]",1,"[""aff_28022c07b7d14f83""]"
27342375,Levi L,"[""Levi Lorena""]",1,"[""aff_16c47262ce39acb1""]"
27342375,Martinez N,"[""Martínez Nora""]",1,"[""aff_a4de4d80af177a8d""]"
27342375,Mate S,"[""Mate Sabina""]",1,"[""aff_28022c07b7d14f83""]"
27342375,Piehl L,"[""Piehl Lidia L""]",1,"[""aff_a30f9286ac44cacf""]"
27342375,Rubin De Celis E,"[""Rubín De Celis Emilio""]",1,"[""aff_a30f9286ac44cacf""]"
27419661,Coll L,"[""Coll Lucia""]",1,"[""aff_623532a2745f8700""]"
27419661,Lempel A,"[""Lempel Augusto Abel""]",1,"[""aff_623532a2745f8700""]"
