Author1,Author2,Weight
Damiano A,Souto P,2
Escudero C,Souto P,2
Amaral M,Fernandez Brando R,2
Giachini F,Souto P,2
Lima V,Souto P,2
Albert S,Della-Maggiore V,2
Fernandez Brando R,Ibarra C,2
Fernandez Brando R,Palermo M,2
Albert S,Lerner G,2
Albert S,Shadmehr R,2
Caffaro P,Della-Maggiore V,2
Caffaro P,Lerner G,2
Della-Maggiore V,Shadmehr R,2
Lerner G,Shadmehr R,2
Palermo M,Zotta E,2
Palermo M,Vilte D,2
Capurro C,Cocca M,2
Griffa G,Huang S,2
Cadavid A,Giachini F,2
Beltramone N,Casal J,2
Amaral M,Fernandez-Brando R,2
Gonzalez-Hoyos I,Zotta E,2
Alleva K,Canessa Fortuna A,2
Charif S,Igaz L,2
Belforte J,Paz R,2
Belforte J,Tubert C,2
Amaral M,Bentancor L,2
Bazzi Z,Schwarzbaum P,2
Amaral M,Da Rocha M,2
Coll C,Keifman E,2
Doyon J,Yeffal A,2
Coll C,Murer M,2
Alvarez C,Schwarzbaum P,2
Bentancor L,Fernandez-Brando R,2
Belluscio M,Coletti M,2
Bentancor L,Palermo M,2
Belluscio M,Martinez M,2
Alvarez C,Bazzi Z,2
Jovicich J,Yeffal A,2
Gonzalez-Hoyos I,Trimarchi H,2
Gonzalez-Hoyos I,Stern A,2
Gonzalez-Hoyos I,Schiel A,2
Gonzalez-Hoyos I,Rengel T,2
Netti V,Pizzoni A,2
Garimano N,Scalise M,2
Deleglise A,Jacobacci F,2
Medrano M,Pisera-Fuster A,2
Beccaria J,Belforte J,2
Beccaria J,Murer M,2
Gelb B,Pagani M,2
Gelb B,San Martin A,2
Galaviz-Hernandez C,Garcia-Robles R,2
Canzonieri R,Gonzalez-Hoyos I,2
Costales-Collaguazo C,Gonzalez-Hoyos I,2
Forrester M,Gonzalez-Hoyos I,2
Gonzalez-Hoyos I,Iriarte R,2
Gonzalez-Hoyos I,Lombi F,2
Gonzalez-Hoyos I,Muryan A,2
Gonzalez-Hoyos I,Paulero M,2
Gonzalez-Hoyos I,Pomeranz V,2
Jacobacci F,Yeffal A,2
Armony J,Yeffal A,2
Griffa G,Lee H,2
Palombo M,Yeffal A,2
Farina M,Marin R,2
Borbely A,Giachini F,2
Borbely A,Damiano A,2
Bueno J,Cadavid A,2
Bueno J,Damiano A,2
Bueno J,Escudero C,2
Bueno J,Giachini F,2
Bueno J,Lima V,2
Lee H,Yeffal A,2
Amaro E,Yeffal A,2
Lee H,Palombo M,2
Huang S,Yeffal A,2
Huang S,Palombo M,2
Huang S,Lee H,2
Griffa G,Yeffal A,2
Griffa G,Palombo M,2
Cadavid A,Damiano A,2
Cadavid A,Escudero C,2
Damiano A,Marin R,2
Abad C,Marin R,2
Abad C,Farina M,2
Abad C,Damiano A,2
Martinez M,Murer M,2
Da Rocha M,Fernandez-Brando R,2
Da Rocha M,Ibarra C,2
Da Rocha M,Palermo M,2
Fernandez-Brando R,Ibarra C,2
Alvarez R,Jancic C,2
Garimano N,Palermo M,2
Albanese A,Vilte D,2
Cataldi A,Garimano N,2
Cataldi A,Martorelli L,2
Ibarra C,Martorelli L,2
Granado N,Moratalla R,2
Granado N,Murer M,2
Fischer Sigel L,Zotta E,2
Martorelli L,Vilte D,2
Sanchez D,Zotta E,2
Silberstein C,Zotta E,2
Mejias M,Palermo M,2
Albanese A,Mercado E,2
Ibarra C,Mejias M,2
Gonzalez G,Murer M,2
Ghigo A,Politi M,2
Chen G,Piazza R,2
Lagree P,Politi M,2
Aban C,Damiano A,2
Damiano A,Leguizamon G,2
Echevarria M,Ford P,2
Capurro C,Gaudric J,2
Gaudric J,Lagree P,2
Chen G,Sacerdoti F,2
Chen G,Sidhu S,2
Ferreira R,Gomez F,2
Gershanik O,Taravini I,2
Gershanik O,Murer M,2
Di Giusto G,Echevarria M,2
Ghigo A,Lagree P,2
Chen G,Luz D,2
Capurro C,Echevarria M,2
Fullana J,Gaudric J,2
Trimarchi H,Young P,2
Young P,Zotta E,2
Fernandez J,Fullana J,2
Fernandez J,Ghigo A,2
Bentancor A,Cataldi A,2
Fernandez J,Lagree P,2
Amaral M,Chen G,2
Igaz L,Nieva G,2
Amaral M,Sidhu S,2
Fullana J,Politi M,2
Chen G,Ferreira R,2
Chen G,Gomez F,2
Gaudric J,Ghigo A,2
Marcora M,Pasquini J,2
Gershanik O,Gomez G,2
Ferreira R,Sidhu S,2
Casale R,Corominas A,2
Alberquilla S,Moratalla R,2
Belforte J,Galinanes G,2
Greer C,Rela L,2
Greer C,Piantanida A,2
Acosta L,Rela L,2
Acosta L,Piantanida A,2
Alberquilla S,Murer M,2
Luz D,Sidhu S,2
Brocardo L,Piantanida A,2
Acosta L,Brocardo L,2
Farina M,Medina Y,2
Di Paola M,Fernandez N,2
Di Paola M,Sierra M,2
Reppetti J,Sacerdoti F,2
Piazza R,Sidhu S,2
Braz B,Galinanes G,2
Brocardo L,Rela L,2
Gomez F,Piazza R,2
Blake M,Romano A,2
Belforte J,Escande M,2
Belforte J,Zold C,2
Escande M,Murer M,2
Escande M,Taravini I,2
Blake M,Feld M,2
Blake M,Navarro N,2
Boccia M,Feld M,2
Castro-Parodi M,Farina M,2
Boccia M,Navarro N,2
Boccia M,Romano A,2
Feld M,Krawczyk M,2
Gomez F,Sidhu S,2
Krawczyk M,Navarro N,2
Krawczyk M,Romano A,2
Stern A,Young P,2
Schiel A,Young P,2
Rengel T,Young P,2
Sanchez D,Vlachovsky S,2
