GeneID,Symbol,Description,TaxID,Organism,Papers,Mentions,Text_mentions
3627,CXCL10,C-X-C motif chemokine ligand 10,,Homo sapiens,1,1,['CXCL10']
3688,ITGB1,integrin subunit beta 1,,Homo sapiens,1,1,['integrin beta1']
3759,KCNJ2,potassium inwardly rectifying channel subfamily J member 2,,Homo sapiens,1,1,['KCNJ2']
3791,KDR,kinase insert domain receptor,,Homo sapiens,1,1,['KDR']
3805,KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4",,Homo sapiens,1,1,['Kir']
389118,CDHR4,cadherin related family member 4,,Homo sapiens,1,1,['Cdhr4']
405785,tnfa,"tumor necrosis factor a (TNF superfamily, member 2)",,Danio rerio,1,1,['tnfalpha']
41709,foxo,"forkhead box, sub-group O",,Drosophila melanogaster,1,1,['Foxo']
46415,Fer1HCH,Ferritin 1 heavy chain homologue,,Drosophila melanogaster,1,1,['ferritin']
4681,NBL1,"NBL1, DAN family BMP antagonist",,Homo sapiens,1,1,['NBL1']
4907,NT5E,5'-nucleotidase ecto,,Homo sapiens,1,1,"[""ecto-5'-nucleotidase""]"
50719,Slc7a5,solute carrier family 7 member 5,,Rattus norvegicus,1,1,['Slc7A5']
51284,TLR7,toll like receptor 7,,Homo sapiens,1,1,['TLR7']
5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",,Homo sapiens,1,1,['PI3K']
5295,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,,Homo sapiens,1,1,['phosphatidylinositol-3-kinase']
54768,HYDIN,HYDIN axonemal central pair apparatus protein,,Homo sapiens,1,1,['Hydin']
5806,PTX3,pentraxin 3,,Homo sapiens,1,1,['TNFAIP5']
5992,RFX4,regulatory factor X4,,Homo sapiens,1,1,['Rfx4']
6097,RORC,RAR related orphan receptor C,,Homo sapiens,1,1,['TOR']
6550,SLC9A3,solute carrier family 9 member A3,,Homo sapiens,1,1,['NHE-3']
6853,SYN1,synapsin I,,Homo sapiens,1,1,['synapsin-1']
7099,TLR4,toll like receptor 4,,Homo sapiens,1,1,['TLR4']
7130,TNFAIP6,TNF alpha induced protein 6,,Homo sapiens,1,1,['TNFAIP6']
7357,UGCG,UDP-glucose ceramide glucosyltransferase,,Homo sapiens,1,1,['glucosylceramide synthase']
776,CACNA1D,calcium voltage-gated channel subunit alpha1 D,,Homo sapiens,1,1,['Cav1.3']
793,CALB1,calbindin 1,,Homo sapiens,1,1,['calbindin']
79582,SPAG16,sperm associated antigen 16,,Homo sapiens,1,1,['Spag16']
79689,STEAP4,STEAP4 metalloreductase,,Homo sapiens,1,1,['TNFAIP9']
797150,hif1aa,hypoxia inducible factor 1 subunit alpha a,,Danio rerio,1,1,['hif1alpha']
79846,CFAP69,cilia and flagella associated protein 69,,Homo sapiens,1,1,['Cfap69']
80129,CCDC170,coiled-coil domain containing 170,,Homo sapiens,1,1,['Ccdc170']
80217,CFAP43,cilia and flagella associated protein 43,,Homo sapiens,1,1,['Cfap43']
8128,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",,Homo sapiens,1,1,['Stx']
81646,Creb1,cAMP responsive element binding protein 1,,Rattus norvegicus,1,1,['CREB']
818,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,,Homo sapiens,1,1,['CaMKII']
81818,Vim,vimentin,,Rattus norvegicus,1,1,['vimentin']
83626,Ugcg,UDP-glucose ceramide glucosyltransferase,,Rattus norvegicus,1,1,['glucosylceramide synthase']
84557,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,,Homo sapiens,1,1,['LC3']
9467,SH3BP5,SH3 domain binding protein 5,,Homo sapiens,1,1,['sab']
953,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,,Homo sapiens,1,1,['ecto-nucleoside triphosphate diphosphohydrolase-1 and -2']
968,CD68,CD68 molecule,,Homo sapiens,1,1,['Cd68']
969,CD69,CD69 molecule,,Homo sapiens,1,1,['CD69']
