PMID,Section,EntityType,Mention,NormalizedName,NormalizedID,Database,Valid,GeneID,Symbol,Description,TaxID,Organism,CommonName,GeneConcept
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41824201,title,Gene,NHE1,SLC9A1,6548,ncbi_gene,True,6548,SLC9A1,solute carrier family 9 member A1,,Homo sapiens,human,SLC9A1
41933672,title,Gene,AQUAPORIN-4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,Aquaporin-4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,Vimentin,VIM,7431,ncbi_gene,True,7431,VIM,vimentin,,Homo sapiens,human,VIM
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,Vimentin,VIM,7431,ncbi_gene,True,7431,VIM,vimentin,,Homo sapiens,human,VIM
41933672,abstract,Gene,PI3K,PIK3CB,5291,ncbi_gene,True,5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",,Homo sapiens,human,PIK3CB
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41933672,abstract,Gene,Vimentin,VIM,7431,ncbi_gene,True,7431,VIM,vimentin,,Homo sapiens,human,VIM
41933672,abstract,Gene,AQP4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41950695,title,Gene,Aquaporin-1,AQP1,358,ncbi_gene,True,358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human,AQP1
41950695,title,Gene,aquaporin-4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
41950695,title,Gene,caveolin-1,CAV1,857,ncbi_gene,True,857,CAV1,caveolin 1,,Homo sapiens,human,CAV1
42086667,title,Gene,GAT-3,Slc6a11,79213,ncbi_gene,True,79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat,SLC6A11
42086667,abstract,Gene,GAT-3,Slc6a11,79213,ncbi_gene,True,79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat,SLC6A11
42086667,abstract,Gene,GAT-3,Slc6a11,79213,ncbi_gene,True,79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat,SLC6A11
42086667,abstract,Gene,GAT-3,Slc6a11,79213,ncbi_gene,True,79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat,SLC6A11
42086667,abstract,Gene,GAT-3,Slc6a11,79213,ncbi_gene,True,79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat,SLC6A11
42086667,abstract,Gene,GAT-3,Slc6a11,79213,ncbi_gene,True,79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat,SLC6A11
42123443,abstract,Gene,Abcb1a,Abcb1a,170913,ncbi_gene,True,170913,Abcb1a,ATP binding cassette subfamily B member 1A,,Rattus norvegicus,Norway rat,ABCB1A
42123443,abstract,Gene,Abcb1b,Abcb1b,24646,ncbi_gene,True,24646,Abcb1b,"ATP-binding cassette, sub-family B member 1B",,Rattus norvegicus,Norway rat,ABCB1B
42123443,abstract,Gene,Slco4A1,Slco4a1,171144,ncbi_gene,True,171144,Slco4a1,"solute carrier organic anion transporter family, member 4a1",,Rattus norvegicus,Norway rat,SLCO4A1
42123443,abstract,Gene,folate receptor-alpha,Folr1,171049,ncbi_gene,True,171049,Folr1,folate receptor alpha,,Rattus norvegicus,Norway rat,FOLR1
