GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
14609,Gja1,10090,kegg,mmu04540,Gap junction - Mus musculus (mouse)
14609,Gja1,10090,kegg,mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (mouse)
11423,Ache,10090,kegg,mmu00564,Glycerophospholipid metabolism - Mus musculus (mouse)
11423,Ache,10090,kegg,mmu04725,Cholinergic synapse - Mus musculus (mouse)
22348,Slc32a1,10090,kegg,mmu04721,Synaptic vesicle cycle - Mus musculus (mouse)
22348,Slc32a1,10090,kegg,mmu04723,Retrograde endocannabinoid signaling - Mus musculus (mouse)
22348,Slc32a1,10090,kegg,mmu04727,GABAergic synapse - Mus musculus (mouse)
22348,Slc32a1,10090,kegg,mmu05032,Morphine addiction - Mus musculus (mouse)
22348,Slc32a1,10090,kegg,mmu05033,Nicotine addiction - Mus musculus (mouse)
11838,Arc,10090,kegg,mmu05031,Amphetamine addiction - Mus musculus (mouse)
5420,PODXL,9606,kegg,hsa05132,Salmonella infection - Homo sapiens (human)
5420,PODXL,9606,wikipathways,WP2572,Primary focal segmental glomerulosclerosis (FSGS)
5420,PODXL,9606,wikipathways,WP2858,Ectoderm Differentiation
5420,PODXL,9606,wikipathways,WP3646,Hepatitis C and Hepatocellular Carcinoma
5420,PODXL,9606,wikipathways,WP4758,Nephrotic syndrome
11346,SYNPO,9606,kegg,hsa04530,Tight junction - Homo sapiens (human)
11346,SYNPO,9606,wikipathways,WP2572,Primary focal segmental glomerulosclerosis (FSGS)
11346,SYNPO,9606,wikipathways,WP4758,Nephrotic syndrome
2099,ESR1,9606,biocarta,carmerpathway,carm1 and regulation of the estrogen receptor
2099,ESR1,9606,biocarta,efppathway,estrogen responsive protein efp controls cell cycle and breast tumors growth
2099,ESR1,9606,biocarta,her2pathway,role of erbb2 in signal transduction and oncology
2099,ESR1,9606,biocarta,mta3pathway,downregulated of mta-3 in er-negative breast tumors
2099,ESR1,9606,biocarta,pelp1pathway,pelp1 modulation of estrogen receptor activity
2099,ESR1,9606,biocarta,tertpathway,overview of telomerase protein component gene htert transcriptional regulation
2099,ESR1,9606,kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human)
2099,ESR1,9606,kegg,hsa04917,Prolactin signaling pathway - Homo sapiens (human)
2099,ESR1,9606,kegg,hsa04919,Thyroid hormone signaling pathway - Homo sapiens (human)
2099,ESR1,9606,kegg,hsa04961,Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)
2099,ESR1,9606,kegg,hsa05200,Pathways in cancer - Homo sapiens (human)
2099,ESR1,9606,kegg,hsa05205,Proteoglycans in cancer - Homo sapiens (human)
2099,ESR1,9606,kegg,hsa05224,Breast cancer - Homo sapiens (human)
2099,ESR1,9606,netpath,Pathway_AndrogenReceptor,AndrogenReceptor
2099,ESR1,9606,netpath,Pathway_Leptin,Leptin
2099,ESR1,9606,netpath,Pathway_Prolactin,Prolactin
2099,ESR1,9606,netpath,Pathway_TGF_beta_Receptor,TGF_beta_Receptor
2099,ESR1,9606,pid,ap1_pathway,AP-1 transcription factor network
2099,ESR1,9606,pid,atf2_pathway,ATF-2 transcription factor network
2099,ESR1,9606,pid,er_nongenomic_pathway,Plasma membrane estrogen receptor signaling
2099,ESR1,9606,pid,era_genomic_pathway,Validated nuclear estrogen receptor alpha network
2099,ESR1,9606,pid,foxm1pathway,FOXM1 transcription factor network
2099,ESR1,9606,pid,hdac_classii_pathway,Signaling events mediated by HDAC Class II
2099,ESR1,9606,pid,hnf3apathway,FOXA1 transcription factor network
2099,ESR1,9606,pid,lkb1_pathway,LKB1 signaling events
2099,ESR1,9606,pid,p38alphabetadownstreampathway,Signaling mediated by p38-alpha and p38-beta
2099,ESR1,9606,pid,smad2_3nuclearpathway,Regulation of nuclear SMAD2/3 signaling
2099,ESR1,9606,pid,telomerasepathway,Regulation of Telomerase
2099,ESR1,9606,smpdb,SMP00471,Tamoxifen Action Pathway
2099,ESR1,9606,smpdb,SMP00606,Tamoxifen Metabolism Pathway
2099,ESR1,9606,wikipathways,WP170,Nuclear receptors
2099,ESR1,9606,wikipathways,WP1984,Integrated breast cancer pathway
2099,ESR1,9606,wikipathways,WP2034,Leptin signaling pathway
2099,ESR1,9606,wikipathways,WP2586,Aryl Hydrocarbon Receptor Netpath
2099,ESR1,9606,wikipathways,WP2814,Mammary gland development pathway - Puberty (Stage 2 of 4)
2099,ESR1,9606,wikipathways,WP2817,Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)
2099,ESR1,9606,wikipathways,WP2881,Estrogen Receptor Pathway
2099,ESR1,9606,wikipathways,WP2882,Nuclear Receptors Meta-Pathway
2099,ESR1,9606,wikipathways,WP4262,Breast cancer pathway
2099,ESR1,9606,wikipathways,WP4483,"Relationship between inflammation, COX-2 and EGFR"
2099,ESR1,9606,wikipathways,WP4673,Male infertility
2099,ESR1,9606,wikipathways,WP4949,16p11.2 proximal deletion syndrome
2099,ESR1,9606,wikipathways,WP712,Estrogen signaling pathway
2852,GPER1,9606,kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human)
2852,GPER1,9606,kegg,hsa04929,GnRH secretion - Homo sapiens (human)
2852,GPER1,9606,wikipathways,WP455,"GPCRs, Class A Rhodopsin-like"
2852,GPER1,9606,wikipathways,WP712,Estrogen signaling pathway
2100,ESR2,9606,kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human)
2100,ESR2,9606,kegg,hsa04917,Prolactin signaling pathway - Homo sapiens (human)
2100,ESR2,9606,kegg,hsa04929,GnRH secretion - Homo sapiens (human)
2100,ESR2,9606,kegg,hsa05200,Pathways in cancer - Homo sapiens (human)
2100,ESR2,9606,kegg,hsa05224,Breast cancer - Homo sapiens (human)
2100,ESR2,9606,pid,er_nongenomic_pathway,Plasma membrane estrogen receptor signaling
2100,ESR2,9606,pid,era_genomic_pathway,Validated nuclear estrogen receptor alpha network
2100,ESR2,9606,pid,erb_genomic_pathway,Validated nuclear estrogen receptor beta network
2100,ESR2,9606,wikipathways,WP170,Nuclear receptors
2100,ESR2,9606,wikipathways,WP2817,Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)
2100,ESR2,9606,wikipathways,WP34,Ovarian infertility
2100,ESR2,9606,wikipathways,WP4262,Breast cancer pathway
2100,ESR2,9606,wikipathways,WP4673,Male infertility
2100,ESR2,9606,wikipathways,WP706,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways
2069,EREG,9606,kegg,hsa04010,MAPK signaling pathway - Homo sapiens (human)
2069,EREG,9606,kegg,hsa04012,ErbB signaling pathway - Homo sapiens (human)
2069,EREG,9606,kegg,hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human)
2069,EREG,9606,kegg,hsa05210,Colorectal cancer - Homo sapiens (human)
2069,EREG,9606,pid,erbb_network_pathway,ErbB receptor signaling network
2069,EREG,9606,wikipathways,WP673,ErbB signaling pathway
1499,CTNNB1,9606,biocarta,gsk3pathway,inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages
1499,CTNNB1,9606,biocarta,hespathway,segmentation clock
1499,CTNNB1,9606,biocarta,pitx2pathway,multi-step regulation of transcription by pitx2
1499,CTNNB1,9606,biocarta,tffpathway,trefoil factors initiate mucosal healing
1499,CTNNB1,9606,biocarta,wntpathway,wnt signaling pathway
1499,CTNNB1,9606,kegg,hsa04015,Rap1 signaling pathway - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04310,Wnt signaling pathway - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04390,Hippo signaling pathway - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04510,Focal adhesion - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04520,Adherens junction - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04550,Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04670,Leukocyte transendothelial migration - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04916,Melanogenesis - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04919,Thyroid hormone signaling pathway - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa04934,Cushing syndrome - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05010,Alzheimer disease - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05100,Bacterial invasion of epithelial cells - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05132,Salmonella infection - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05160,Hepatitis C - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05163,Human cytomegalovirus infection - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05165,Human papillomavirus infection - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05167,Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05200,Pathways in cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05205,Proteoglycans in cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05210,Colorectal cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05213,Endometrial cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05215,Prostate cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05216,Thyroid cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05217,Basal cell carcinoma - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05224,Breast cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05225,Hepatocellular carcinoma - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05226,Gastric cancer - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05412,Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)
1499,CTNNB1,9606,kegg,hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human)
1499,CTNNB1,9606,netpath,Pathway_AndrogenReceptor,AndrogenReceptor
1499,CTNNB1,9606,netpath,Pathway_BCR,BCR
1499,CTNNB1,9606,netpath,Pathway_Fibroblast__growth__factor-1,Fibroblast growth factor-1
1499,CTNNB1,9606,netpath,Pathway_Gastrin,Gastrin
1499,CTNNB1,9606,netpath,Pathway_Hedgehog,Hedgehog
1499,CTNNB1,9606,netpath,Pathway_IL5,IL5
1499,CTNNB1,9606,netpath,Pathway_TCR,TCR
