GeneConcept,Papers,Mentions,N_GeneIDs,GeneIDs,Symbols,N_species,TaxIDs,Organisms,Text_mentions
DIO1,1,1,1,['13370'],['Dio1'],1,[''],['Mus musculus'],['D1/D5']
DNTT,1,1,1,['1791'],['DNTT'],1,[''],['Homo sapiens'],['Terminal Deoxynucleotidyltransferase']
ENTPD1,1,1,1,['953'],['ENTPD1'],1,[''],['Homo sapiens'],['ecto-nucleoside triphosphate diphosphohydrolase-1 and -2']
EREG,1,1,1,['2069'],['EREG'],1,[''],['Homo sapiens'],['ER']
ESR2,1,1,1,['2100'],['ESR2'],1,[''],['Homo sapiens'],['ERbeta']
FAAH,1,1,1,['2166'],['FAAH'],1,[''],['Homo sapiens'],['FAAH']
FER1HCH,1,1,1,['46415'],['Fer1HCH'],1,[''],['Drosophila melanogaster'],['ferritin']
FER3HCH,1,1,1,['32260'],['Fer3HCH'],1,[''],['Drosophila melanogaster'],['Fer3HCH']
FOXJ1,1,1,1,['2302'],['FOXJ1'],1,[''],['Homo sapiens'],['FoxJ1']
FOXO,1,1,1,['41709'],['foxo'],1,[''],['Drosophila melanogaster'],['Foxo']
GLA,1,1,1,['2717'],['GLA'],1,[''],['Homo sapiens'],['alpha-galactosidase A']
GLUL,1,1,1,['14645'],['Glul'],1,[''],['Mus musculus'],['glutamine synthetase']
GPNMB,1,1,1,['10457'],['GPNMB'],1,[''],['Homo sapiens'],['Gpnmb']
HDAC1,1,1,1,['192302'],['hdac1'],1,[''],['Danio rerio'],['HDAC-1']
HIF1AA,1,1,1,['797150'],['hif1aa'],1,[''],['Danio rerio'],['hif1alpha']
HSPG2,1,1,1,['15530'],['Hspg2'],1,[''],['Mus musculus'],['PLC']
HYDIN,1,1,1,['54768'],['HYDIN'],1,[''],['Homo sapiens'],['Hydin']
IFNA1,1,1,1,['3439'],['IFNA1'],1,[''],['Homo sapiens'],['IFN']
IL2,1,1,1,['16183'],['Il2'],1,[''],['Mus musculus'],['IL-2']
IL6,1,1,1,['3569'],['IL6'],1,[''],['Homo sapiens'],['IL-6']
INSR,1,1,1,['24954'],['Insr'],1,[''],['Rattus norvegicus'],['insulin receptor']
ITGB1,1,1,1,['3688'],['ITGB1'],1,[''],['Homo sapiens'],['integrin beta1']
KCNJ2,1,1,1,['3759'],['KCNJ2'],1,[''],['Homo sapiens'],['KCNJ2']
KDR,1,1,1,['3791'],['KDR'],1,[''],['Homo sapiens'],['KDR']
KIR2DL4,1,1,1,['3805'],['KIR2DL4'],1,[''],['Homo sapiens'],['Kir']
KLK1,1,1,1,['24523'],['Klk1'],1,[''],['Rattus norvegicus'],['Klk1']
MAP1LC3A,1,1,1,['84557'],['MAP1LC3A'],1,[''],['Homo sapiens'],['LC3']
MMP9,1,1,1,['17395'],['Mmp9'],1,[''],['Mus musculus'],['matrix metalloproteinase 9']
NBL1,1,1,1,['4681'],['NBL1'],1,[''],['Homo sapiens'],['NBL1']
NT5E,1,1,1,['4907'],['NT5E'],1,[''],['Homo sapiens'],"[""ecto-5'-nucleotidase""]"
PCNA,1,1,1,['18538'],['Pcna'],1,[''],['Mus musculus'],['proliferating cell nuclear antigen']
PIK3CB,1,1,1,['5291'],['PIK3CB'],1,[''],['Homo sapiens'],['PI3K']
PIK3R1,1,1,1,['5295'],['PIK3R1'],1,[''],['Homo sapiens'],['phosphatidylinositol-3-kinase']
PTX3,1,1,1,['5806'],['PTX3'],1,[''],['Homo sapiens'],['TNFAIP5']
RBMS3,1,1,1,['27303'],['RBMS3'],1,[''],['Homo sapiens'],['RNA binding protein']
RFX4,1,1,1,['5992'],['RFX4'],1,[''],['Homo sapiens'],['Rfx4']
RHO,1,1,1,['212541'],['Rho'],1,[''],['Mus musculus'],['rhodopsin']
RORC,1,1,1,['6097'],['RORC'],1,[''],['Homo sapiens'],['TOR']
SH3BP5,1,1,1,['9467'],['SH3BP5'],1,[''],['Homo sapiens'],['sab']
SLC19A1,1,1,1,['29723'],['Slc19a1'],1,[''],['Rattus norvegicus'],['Slc19A1']
SLC7A5,1,1,1,['50719'],['Slc7a5'],1,[''],['Rattus norvegicus'],['Slc7A5']
SLC9A3,1,1,1,['6550'],['SLC9A3'],1,[''],['Homo sapiens'],['NHE-3']
SLCO4A1,1,1,1,['171144'],['Slco4a1'],1,[''],['Rattus norvegicus'],['Slco4A1']
SPAG16,1,1,1,['79582'],['SPAG16'],1,[''],['Homo sapiens'],['Spag16']
ST8SIA2,1,1,1,['8128'],['ST8SIA2'],1,[''],['Homo sapiens'],['Stx']
STEAP4,1,1,1,['79689'],['STEAP4'],1,[''],['Homo sapiens'],['TNFAIP9']
STX12,1,1,1,['23673'],['STX12'],1,[''],['Homo sapiens'],['Stx1/2']
SYN1,1,1,1,['6853'],['SYN1'],1,[''],['Homo sapiens'],['synapsin-1']
TLR4,1,1,1,['7099'],['TLR4'],1,[''],['Homo sapiens'],['TLR4']
TLR7,1,1,1,['51284'],['TLR7'],1,[''],['Homo sapiens'],['TLR7']
TNFA,1,1,1,['405785'],['tnfa'],1,[''],['Danio rerio'],['tnfalpha']
TNFAIP6,1,1,1,['7130'],['TNFAIP6'],1,[''],['Homo sapiens'],['TNFAIP6']
TNFSF10,1,1,1,['22035'],['Tnfsf10'],1,[''],['Mus musculus'],['TRAIL']
